Sample	is_sorted	maximum_first_fragment_length	sequences	bases_mapped_(cigar)	bases_mapped	reads_QC_failed_percent	raw_total_sequences	reads_MQ0	reads_unmapped	1st_fragments	total_length	inward_oriented_pairs	total_first_fragment_length	error_rate	reads_duplicated_percent	insert_size_average	reads_mapped_percent	reads_QC_failed	mismatches	reads_paired_percent	supplementary_alignments	filtered_sequences	average_first_fragment_length	reads_mapped	reads_mapped_and_paired_percent	average_quality	average_last_fragment_length	reads_mapped_and_paired	reads_unmapped_percent	total_last_fragment_length	insert_size_standard_deviation	bases_duplicated	outward_oriented_pairs	percentage_of_properly_paired_reads_(%)	reads_paired	reads_MQ0_percent	reads_properly_paired	reads_duplicated	pairs_on_different_chromosomes	average_length	last_fragments	maximum_length	pairs_with_other_orientation	reads_properly_paired_percent	non-primary_alignments	maximum_last_fragment_length	bases_trimmed
SRX298290	1.0	100.0	30040863.0	2892859558.0	2906766100.0	0.0	30040863.0	379196.0	0.0	15033923.0	2906766100.0	14964144.0	1470458142.0	0.005855163	52.73406759319798	716.7	100.0	0.0	16938163.0	100.0	0.0	0.0	98.0	30040863.0	99.83817042805994	36.2	96.0	29992248.0	0.0	1436307958.0	1223.3	1526034702.0	31980.0	99.8	30040863.0	1.2622673323332956	29992248.0	15841769.0	0.0	96.0	15006940.0	100.0	0.0	99.83817042805994	6281665.0	100.0	0.0
SRX298291	1.0	100.0	32603562.0	3148742288.0	3160777109.0	0.0	32603562.0	359111.0	0.0	16313531.0	3160777109.0	16270851.0	1598904244.0	0.005750592	46.28425262245886	715.6	100.0	0.0	18107133.0	100.0	0.0	0.0	98.0	32603562.0	99.90525575089005	36.2	96.0	32572672.0	0.0	1561872865.0	1238.3	1456208602.0	15485.0	99.9	32603562.0	1.1014471363589045	32572672.0	15090315.0	0.0	96.0	16290031.0	100.0	0.0	99.90525575089005	6844549.0	100.0	0.0
SRX298292	1.0	100.0	26817455.0	2574770324.0	2586882705.0	0.0	26817455.0	237769.0	0.0	13422046.0	2586882705.0	13358262.0	1311239563.0	0.005548768	38.89164352098288	668.2	100.0	0.0	14286803.0	100.0	0.0	0.0	98.0	26817455.0	99.84473918199919	35.9	95.0	26775818.0	0.0	1275643142.0	1125.2	999524191.0	29647.0	99.8	26817455.0	0.8866203000993197	26775818.0	10429749.0	0.0	96.0	13395409.0	100.0	0.0	99.84473918199919	4195331.0	100.0	0.0
SRX298293	1.0	100.0	29612859.0	2840394775.0	2854818967.0	0.0	29612859.0	353766.0	0.0	14823576.0	2854818967.0	14745784.0	1447681177.0	0.005334531	47.903132216987224	719.6	100.0	0.0	15152175.0	100.0	0.0	0.0	98.0	29612859.0	99.81469874286708	35.9	95.0	29557986.0	0.0	1407137790.0	1199.9	1358758624.0	33209.0	99.8	29612859.0	1.1946364246694317	29557986.0	14185487.0	0.0	96.0	14789283.0	100.0	0.0	99.81469874286708	5179926.0	100.0	0.0
SRX298294	1.0	100.0	47094639.0	4534327405.0	4552197824.0	0.0	47094639.0	467981.0	0.0	23568651.0	4552197824.0	23488597.0	2307324528.0	0.005327953	47.229590187537056	678.0	100.0	0.0	24158679.0	100.0	0.0	0.0	98.0	47094639.0	99.86513326920289	36.0	95.0	47031124.0	0.0	2244873296.0	1136.8	2138825389.0	26965.0	99.9	47094639.0	0.9937033385052595	47031124.0	22242605.0	0.0	96.0	23525988.0	100.0	0.0	99.86513326920289	8284413.0	100.0	0.0
SRX298295	1.0	100.0	86962255.0	8383453989.0	8422447443.0	0.0	86962255.0	795140.0	0.0	43514483.0	8422447443.0	43399471.0	4263538850.0	0.005554771	65.60653469715108	750.1	100.0	0.0	46568167.0	100.0	0.0	0.0	98.0	86962255.0	99.89696104361599	36.1	96.0	86872650.0	0.0	4158908593.0	1248.8	5498037917.0	36854.0	99.9	86962255.0	0.9143507145715115	86872650.0	57052922.0	0.0	96.0	43447772.0	100.0	0.0	99.89696104361599	10857473.0	100.0	0.0
SRX298296	1.0	100.0	27382047.0	2640858899.0	2658935862.0	0.0	27382047.0	349294.0	0.0	13704680.0	2658935862.0	13629628.0	1343648155.0	0.005366612	37.34477922706071	683.5	100.0	0.0	14172465.0	100.0	0.0	0.0	98.0	27382047.0	99.80879077448081	36.4	96.0	27329690.0	0.0	1315287707.0	1207.5	987443852.0	35217.0	99.8	27382047.0	1.275631438365437	27329690.0	10225765.0	0.0	97.0	13677367.0	100.0	0.0	99.80879077448081	4500970.0	100.0	0.0
SRX298297	1.0	100.0	45807970.0	4423695404.0	4449062161.0	0.0	45807970.0	472032.0	0.0	22924080.0	4449062161.0	22826003.0	2248526309.0	0.005414214	33.03512685674567	672.4	100.0	0.0	23950837.0	100.0	0.0	0.0	98.0	45807970.0	99.83674893255476	36.3	96.0	45733188.0	0.0	2200535852.0	1189.7	1463768359.0	40591.0	99.8	45807970.0	1.03045823685267	45733188.0	15132721.0	0.0	97.0	22883890.0	100.0	0.0	99.83674893255476	6159049.0	100.0	0.0
SRX298298	1.0	100.0	25756014.0	2481273382.0	2493204087.0	0.0	25756014.0	231077.0	0.0	12889396.0	2493204087.0	12830184.0	1262437185.0	0.005466583	41.76881174237598	655.5	100.0	0.0	13564087.0	100.0	0.0	0.0	98.0	25756014.0	99.84592336376274	36.2	96.0	25716330.0	0.0	1230766902.0	1111.6	1034922872.0	27981.0	99.8	25756014.0	0.8971768690605619	25716330.0	10757981.0	0.0	96.0	12866618.0	100.0	0.0	99.84592336376274	4108475.0	100.0	0.0
SRX298299	1.0	100.0	24834882.0	2395700766.0	2407409119.0	0.0	24834882.0	286532.0	0.0	12427814.0	2407409119.0	12382248.0	1218499238.0	0.005531137	33.58581691670611	712.9	100.0	0.0	13250949.0	100.0	0.0	0.0	98.0	24834882.0	99.8686927523956	36.2	96.0	24802272.0	0.0	1188909881.0	1289.6	805229709.0	18888.0	99.9	24834882.0	1.1537481837038728	24802272.0	8340998.0	0.0	96.0	12407068.0	100.0	0.0	99.8686927523956	5412256.0	100.0	0.0
