Sample	70	24	80	28	68	16	5	3	40	20	32	74	4	56	46	22	64	44	60	7	54	62	42	52	9	88	18	6	12	26	30	48	72	78	82	84	86	14	38	66	50	36	10	58	76	1	2	34	8
SRX298280_1 - illumina_universal_adapter	0.12917407512290685	0.0648795071655053	0.15143658284085476	0.07159702330936321	0.12586406198498656	0.04533046744070527	0.014488851337236023	0.004085289707391125	0.08790800670358902	0.056857483740082725	0.07775513330578858	0.1369918340629599	0.012190875876828515	0.10821143231185616	0.09547739859893133	0.06116792861884711	0.11957132312320398	0.09286606284846824	0.1135153453694634	0.018165612073888036	0.10579507629742765	0.1165305677159981	0.09048452464404592	0.10316749223562836	0.023132952968102242	0.1796552572571922	0.051873894534532304	0.01736712363107977	0.033302074677238905	0.0681013151847433	0.07460296090656293	0.09809105553672814	0.13300867659825355	0.14606071297590145	0.1574484580352542	0.16428203354579934	0.17175857794779187	0.0392396718769585	0.08577019316920992	0.12266778702641976	0.10080220234254225	0.0833840125901201	0.027522318216213957	0.11058832814161099	0.14147172561708765	0.000979541054840372	0.0015366260149391616	0.08054055810628252	0.020848904631697206
SRX298280_1 - polya	0.13857488382457395	0.031895435152989454	0.17191873987382028	0.03975265427771614	0.13195717873606708	0.01710947183703408	0.003523562372624845	0.0025811603151243926	0.06346358289192087	0.0226246129420121	0.04818320667387782	0.15215847210164943	0.0030453977818733838	0.09570487495763833	0.07535734679003003	0.028977702674472045	0.11555334784849147	0.07163648349403687	0.10445807239319056	0.004554169548807606	0.09098822229546857	0.10871512996327881	0.06770671333800665	0.08711648182278199	0.007817758940053016	0.19570162529537108	0.019750983022835844	0.003908879470026508	0.012371928488860623	0.0356720069449925	0.04442288319321099	0.0793776432520763	0.14532953896577178	0.16546351789867553	0.17844591865631107	0.18440208535470065	0.19014934519305315	0.014621159015259486	0.05928544569117995	0.12157450779222588	0.08339793971412257	0.055167659361116395	0.010800484663915286	0.10003621052240642	0.15910346460421435	0.0010677461735226802	0.0021122804737079112	0.051458402001791956	0.006179000682429076
SRX298280_2 - illumina_universal_adapter	0.12210141731698598	0.05312501450742084	0.1454084593351191	0.05980539165393882	0.11840376589433027	0.034961723620866546	0.009869688543083559	0.002107638099040421	0.07657597014024614	0.04529100725603161	0.0660308160830428	0.13056214514848635	0.008486260892171563	0.09843691244945614	0.08460495712766994	0.049415757148096394	0.11148430645243655	0.08183810182584596	0.10439307914784571	0.012293008119513293	0.09561899102628976	0.10790735677113557	0.07927551100939154	0.09265483480109746	0.016387582576239398	0.17395906354018206	0.04073219533255651	0.011824128278096813	0.024546556054352922	0.056293435217982704	0.06277186906646488	0.08734163699415526	0.126251700269722	0.139930457227481	0.15131123872483254	0.1583722905940847	0.16599506979810313	0.029467473201892233	0.07430120655317608	0.1149359120177153	0.09010849229597924	0.0717107614887167	0.019788122020175762	0.10109002957192663	0.13524862237531743	0.0006174358307761586	0.0008588393134856342	0.06884873750620918	0.014521347959908452
SRX298280_2 - polya	0.24679792207309884	0.062265850227708475	0.2873165681709508	0.07902714396468082	0.23824202556091492	0.032575543041776726	0.007218892607946817	0.005009122266221618	0.12580371111430919	0.04464107480258302	0.095971811501019	0.26430663813153704	0.006165073558426606	0.18100154591076428	0.14734665075879616	0.055330142474478546	0.22017390335504416	0.1405803896809296	0.19949908777337783	0.009126908596285172	0.174005487286857	0.21162961277952896	0.13333596401231157	0.167770778108418	0.014317083474538896	0.3128217745941404	0.038290306257456816	0.008031308174757551	0.02272442399736313	0.07050142288783559	0.08811691356362607	0.15415005083400263	0.25574377805735193	0.280443532475732	0.2938298198294391	0.30026879349324764	0.30674954852906355	0.0274573249708691	0.11826681584163931	0.22925903057932193	0.16138983412795313	0.11088776130766409	0.019224073498075735	0.19082481070717294	0.2727766507123724	0.00269257730714415	0.0041038592060610845	0.10374314669439712	0.01137846031001778
SRX298280_2 - polyg	0.1794068902124815	0.029562641882575777	0.20919700845376427	0.04006833575510545	0.1727845427493071	0.014549202207913392	0.003156814773893142	0.0019173007376733346	0.07436852098585468	0.020951036874381983	0.05113343577506766	0.191716146643331	0.0025765179404569024	0.13146044464664566	0.09347421392990943	0.02507810795378052	0.1594934240762835	0.08647119174400089	0.14598411379388787	0.004521672926135176	0.12353591108924036	0.15282001049176674	0.08027130037556811	0.11572047333652109	0.006206854930434016	0.23017822076348493	0.017701374607139043	0.00381138960200922	0.00946812313434568	0.03480156169483814	0.045437242058057534	0.10060025904450645	0.18564392057825418	0.20337082824606442	0.2149048081074431	0.2202365754130553	0.22510874762658595	0.011821807090763067	0.06850520178081493	0.166159874098799	0.10840641204789074	0.06292506743049205	0.007562428333341071	0.13882789324395217	0.19779765745774278	0.0002785424800493949	0.0009099054348280232	0.057184771154140765	0.005222671500926154
SRX298281_1 - illumina_universal_adapter	0.12222471965288786	0.06216645651008534	0.139333276904445	0.06902439690994397	0.11947586273237387	0.04286449448268753	0.013330851472159634	0.003686182414650202	0.08445397381510222	0.05423232757992215	0.07483770856044542	0.12855245573283106	0.011279465710582038	0.10498045534325712	0.09210090873864456	0.058338255081172075	0.1143568662627141	0.08927630834385694	0.1091558143625912	0.01603868067744206	0.10285017012931115	0.11153857782411596	0.08678939760520595	0.10032854363161808	0.02055172935291277	0.16256443165978757	0.04936580935784114	0.015356989408979352	0.03067926305891662	0.0655212612247884	0.07183637339235265	0.0950643721696005	0.1252355227552648	0.13546720373839494	0.14446174130838899	0.149946831237038	0.1558642901646657	0.036596721986544296	0.08248464348398774	0.11685324493564929	0.09797102799485122	0.08017762349673663	0.02501428237886772	0.10688666611247691	0.13176524143327104	0.0009215456036625505	0.001495933616904277	0.07752975787525415	0.0185571511970404
SRX298281_1 - polya	0.1459229591662512	0.0346084557868614	0.18114367470349113	0.04355880966352918	0.139487919831087	0.018604490868461422	0.0037745498013027753	0.002663645511956139	0.0681280991310393	0.02407380090663676	0.05230718094213394	0.1592601225946003	0.003155978094734762	0.10259453590363764	0.08083722291853619	0.03118421955407418	0.12237936257952986	0.0769332780153493	0.11218555333353658	0.0048538943097020636	0.09801521168817749	0.11690374058516505	0.07258749617889952	0.09376726517266451	0.008161359352984093	0.20569402830243283	0.021201860840428133	0.004266882384081398	0.013611733522591027	0.03878697078429022	0.0483906121265681	0.0850599216092913	0.1523138148080891	0.17403956801224318	0.18812469824904443	0.19431041531472454	0.20001957968809975	0.016224883385031412	0.06405688738883147	0.12900691657847285	0.08957928224095149	0.06010560281422354	0.011787578183834337	0.10716123620671883	0.16688180969338473	0.0011803358074308008	0.0021902487977459245	0.05617325410818402	0.006532874656100957
SRX298281_2 - illumina_universal_adapter	0.11656920690712316	0.05165389347652385	0.13531887276794238	0.05848027409543514	0.11346688043999889	0.033589074862262064	0.009177584299488688	0.002051385761577595	0.07473987323950863	0.0438333797577711	0.064359861285926	0.12374590109455001	0.007934128930163192	0.09677491229694674	0.08296750813248216	0.047825692047610585	0.1077387801980553	0.079994576767242	0.10137001640288054	0.011052235287761137	0.0944110847039904	0.1043429477681207	0.07731515136481219	0.09157070441872911	0.014744729658600807	0.1591338834708109	0.0393297990165846	0.0106040863983088	0.022741978150658693	0.05492979873885853	0.06140270981115953	0.08607930253389062	0.1200944344389419	0.13119400939812403	0.14065563172613887	0.14622908904144044	0.15242743001949954	0.027860974620318477	0.07249912879224694	0.1105633805928429	0.08900489422770975	0.06995541044789072	0.018203681650430105	0.09888941762041903	0.12721747699875824	0.0005996358379996048	0.0008268662608205075	0.06719077363690308	0.01312886887409661
SRX298281_2 - polya	0.27522338170753435	0.07345223417685684	0.31815415173021133	0.09333174019559111	0.2661720365318351	0.03920987184898468	0.008533764768162796	0.00582593556288037	0.14780076613261836	0.0525028515840075	0.11295876796674659	0.29340497151130135	0.007063078976016397	0.20859752814958882	0.1715999969450132	0.06501630472963082	0.24733084730626853	0.1639025663719551	0.22575026909447227	0.011563503739108168	0.2008685377955834	0.23857932004956905	0.1559652814636972	0.19382123871004064	0.01737050343342013	0.3455417296363196	0.04564491118414886	0.00968254079464625	0.02738126594991879	0.08261088260777713	0.10389795485676309	0.17911753676667141	0.2844325257879704	0.3105166847409532	0.3254602410195223	0.33219825425178107	0.33896467128689234	0.0336648183365357	0.13925753343017136	0.25622754955532584	0.1868496830987716	0.13073954855248227	0.023007080310616414	0.21676204348066763	0.3024373808184322	0.0032885291747136217	0.004746591054481082	0.12242039029476141	0.014479627498643087
