Sample	Y	2R	4	3L	X	3R	2L
SRX298280	0.1552110804935897	1.6497453956046055	0.7097637131835371	1.1322579268298099	0.5602205588922837	0.994955001285929	0.738739304745155
SRX298281	0.18659549742982243	1.7668649542951198	0.6892690925654941	1.0806357437403493	0.5983233236673875	0.9104386605898701	0.7479360782280661
SRX298282	0.16107407271382507	1.7013977152894497	0.6704304396042108	1.1287434186368874	0.5452161839402978	0.9759934853118586	0.7296254429555902
SRX298283	0.15849002006796514	1.2897389300682696	1.083514957942095	0.9748501140418755	0.8417492221158946	1.0865667653171562	0.8852780967471447
SRX298284	0.1769808954166812	1.2884030771253714	0.907181595431709	0.9695537894314804	0.8221441611760996	1.1205894167697388	0.873484646132037
SRX298285	0.16724692913603306	1.1288949721017651	0.9393819034188754	1.0295763982622388	0.7438314717444409	1.259556747166961	0.8617548647384694
SRX298286	0.14151034381415845	1.099371835303673	1.106315238119613	0.8708207403447329	0.9056094772931119	1.098631590679226	1.1353098899624103
SRX298287	0.21364191147197142	0.975529332237381	0.8085813000396143	0.738375618746148	1.6097081776481204	0.913365433069975	0.9804489459991859
SRX298288	0.1618188009331679	1.070812086120862	1.0953136404922825	0.7975546445824403	0.9406230590826467	1.125486641755568	1.1793810754627014
SRX298289	0.33098374982834705	1.7009330139984784	0.645654059228001	1.23315267380507	0.6482964380051764	0.8456534495140587	0.6548411679486618
SRX298290	0.3022890346870307	1.6240033651445613	0.6548731654052594	1.1611169248979738	0.7106115198571545	0.9053685096309527	0.6837776325773363
SRX298291	0.2048490425651842	1.5849990126737004	0.592678944584881	1.1257099218202173	0.8444611702066933	0.9097314432458531	0.6468505592299584
SRX298292	0.2147873139842256	1.5065795700153461	0.6345604150523122	1.0260274169717654	0.7066186618491846	0.9768084186262146	0.892899231171459
SRX298293	0.3552776948448328	1.5533126245746367	0.8109996394728167	1.0004715924333882	0.7724182622189615	0.8952197656327818	0.886596133793937
SRX298294	0.2610048595259935	1.5635447402566196	0.7320412428842742	0.9790307048118216	0.6723682523105267	0.9513437361792304	0.9440575977965429
SRX298295	0.15454675531632073	1.2895393578873013	0.9950030376615397	0.8780130000441577	0.9480399831805713	1.0723511949706799	0.9199237075149812
SRX298296	0.3187926003607393	1.2605364228555276	0.9296847204854426	0.8460906308991335	0.9652670238059331	1.0934434038815348	0.9213808621675467
SRX298297	0.2623381433152513	1.294456024297452	1.1028677016817252	0.8519714695751419	0.9358806069536755	1.075310974249517	0.9309084825043803
SRX298298	0.09910362029140461	1.0555366278202005	0.6813265012370003	1.0952370414528538	0.7149230608473465	1.2743302851327296	0.8963608252227316
SRX298299	0.20526007300485044	0.9763409334330605	0.7139104376155316	0.9404475922712665	1.186123705291314	1.1435470451092775	0.8548041409496276
SRX298300	0.18626174270039164	1.076041127047259	0.8289021053735246	1.076100161125824	0.6652921401875499	1.3510446523683282	0.8201641929866582
SRX298301	0.15791546160423167	1.0336711174620667	0.6443696189773768	0.9796386253879457	1.3312520493865754	1.053920888894986	0.734640309819126
SRX298302	0.09242517233099659	1.1658303516389164	0.8171923808208729	1.0802536045964433	0.8768104583078566	1.1830350961489582	0.7513822822713445
SRX298303	0.0765620583599977	1.1473938879789884	0.6818358258346945	1.169268238233092	0.7584500148049065	1.2217854428392918	0.7406660902956754
SRX298304	0.1858355252832243	1.0010446711308891	0.8062286552893796	0.843567174987674	0.9533747972116079	1.2365394774023128	1.0479565935840323
SRX298305	0.1059907714432182	0.9824375847590652	0.8999981317528077	0.8335127515693577	0.8485993999823134	1.3657392022077097	1.0157015274782542
SRX298306	0.09932716744241422	0.9743302759220348	0.8355840165010403	0.8291251805992645	0.7990135228403255	1.3748297649975987	1.0716419101556653
SRX298307	0.27724616791153583	1.0764968417828875	0.7966744412879367	0.7846864900650606	1.062867660384067	1.045729485474803	1.174188758439232
SRX298308	0.15531982210531894	1.0776087669223708	0.8028066486257822	0.7739032178535772	1.1934694668560177	1.0016405032239284	1.1339384055043125
SRX298309	0.08967428012317773	1.1389119151015266	0.87819980662012	0.7595605848917597	1.0210980943822234	1.0191272988038305	1.2397983479843329
