Sample	Y	2R	4	3L	X	3R	2L
SRX298280	0.004138292319786692	0.30329062121276346	0.006956515126926166	0.23139585164138637	0.09588556760284632	0.2320462681987922	0.1262868838974988
SRX298281	0.004975074662614074	0.3248219822373492	0.006755643857091098	0.22084599481413647	0.10240711553554376	0.21233512404152777	0.12785906485173765
SRX298282	0.004294613476747978	0.31278642836339077	0.006571003008507465	0.2306776030894165	0.09331746654700177	0.22762400888506637	0.12472887662986913
SRX298283	0.004225716557892186	0.23710672104002714	0.010619714779960638	0.19922693144044454	0.14407111745671533	0.2534122274020522	0.15133757132290798
SRX298284	0.004718726768235287	0.23686113667896153	0.008891441439269222	0.19814453889122832	0.14071557763179776	0.26134708806770673	0.14932149052280114
SRX298285	0.004459196341849702	0.20753702861357684	0.009207042146157543	0.2104111632698438	0.1273118269884662	0.29375744871572257	0.14731629392438333
SRX298286	0.0037729984683708977	0.20210946959537984	0.010843184212120865	0.1779667883652982	0.15500123545709285	0.25622602068729633	0.194080303214441
SRX298287	0.005696195649288854	0.17934215665873482	0.007925043138434808	0.1508994117704085	0.27551252776928276	0.213017714340584	0.1676069506732663
SRX298288	0.004314469681992049	0.19685902059008895	0.010735355678633849	0.16299363584975538	0.16099404866326392	0.2624892329697604	0.20161423656650543
SRX298289	0.008824804940040464	0.31270099727590744	0.006328165481488088	0.25201538129913	0.11096035471447603	0.19722573070697144	0.11194456558198654
SRX298290	0.008059736370772431	0.2985581840559115	0.0064185235124603664	0.23729367074890823	0.12162600576699947	0.21115264884646795	0.11689123069848002
SRX298291	0.005461757091486586	0.2913875901434165	0.005808947353651484	0.23005765726019176	0.14453528585944203	0.21217018477766908	0.11057857751414256
SRX298292	0.005726734773199673	0.2769708919411497	0.006219434784091955	0.20968586956360516	0.12094260090015777	0.22781406997746026	0.1526403980603355
SRX298293	0.00947253863121334	0.2855623371339776	0.007948745695407827	0.2044631092337104	0.13220465105049797	0.20878572957008185	0.151562888685111
SRX298294	0.00695900319853796	0.28744341813579616	0.007174860992564481	0.2000813051115429	0.11508040982716713	0.2218751234672634	0.16138587926712794
SRX298295	0.004120579848678377	0.23707003151756872	0.009752194363083897	0.179436646971662	0.1622635057828008	0.250096831183174	0.1572602103330322
SRX298296	0.008499760232853747	0.2317381068422728	0.009111998403413328	0.17291277673000643	0.1652120312202575	0.2550160168342914	0.15750930973690477
SRX298297	0.006994551679017802	0.23797391572527954	0.010809394319885849	0.1741146245082867	0.16018234565273023	0.25078711942280163	0.1591380486919983
SRX298298	0.002642335517610899	0.19405076711675864	0.006677797165724148	0.2238300143022705	0.12236395539866762	0.2972029757482206	0.1532321547507476
SRX298299	0.005472716129373959	0.17949136212490582	0.006997157879862882	0.19219620051325187	0.20301315780686424	0.2667013322053809	0.14612807334036032
SRX298300	0.004966175976843035	0.19782033199919435	0.008124210815044549	0.21991907262007734	0.11386928500041213	0.31509452120630166	0.14020640238212695
SRX298301	0.004210397478415544	0.190030992770171	0.0063155764636683084	0.20020554385265416	0.22785286321923015	0.24579846217040577	0.1255861640454551
SRX298302	0.0024642723934140865	0.21432726075145556	0.008009441808867425	0.22076789828634508	0.15007208703871552	0.27591084908841434	0.128448190632788
SRX298303	0.002041324479480861	0.21093788531735294	0.006682789142916787	0.23895952801206427	0.12981389028591278	0.28494831644048535	0.126616266321787
SRX298304	0.004954812018429668	0.1840329186418166	0.007901984466246731	0.17239706629347493	0.1631765955709246	0.2883892948332772	0.17914732817583032
SRX298305	0.0028259631595686997	0.18061217578070266	0.008821035087383662	0.1703422766430651	0.1452435720952969	0.31852162640069	0.173633350833293
SRX298306	0.002648295810234283	0.17912172110806174	0.00818970136488803	0.16944560310499207	0.13675661120217	0.32064175361096003	0.18319631379869386
SRX298307	0.007392034664728628	0.19790411099056654	0.007808341986372954	0.1603638131715083	0.18191704550105772	0.24388803949550322	0.2007266141902626
SRX298308	0.0041411916268157345	0.19810852827046588	0.0078684447956809	0.15816007107553254	0.20427043497373487	0.23360548019706703	0.19384584906070304
SRX298309	0.0023909271395831395	0.20937855208328596	0.008607385987393698	0.15522891405703243	0.1747678995423115	0.23768380097722994	0.21194252021316332
