	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298283_2 - Adapter 1	5346986	1460171	304363	77518	29191	14430	3354	1878	2380	1764	1268	1222	1015	1209	722	855	1102	608	811	746	291	567	603	983	581	703	584	840	463	1161	132	414	291	255	380	355	413	474	505	420	573	873	277	535	684	350	420	333	350	492	649	339	256	399	471	313	418	761	562	705	804	1363	3367	5499	8614	4426	710	231	71	39	27	43	28	30	21	30	43	39	35	16	17	27	41	22	14	28	15	21	21	13	24	15	15	16	13	11	60	19	4	4
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298284_1 - Adapter 1	8087279	2265384	486176	119785	46557	20441	4369	2072	2735	1973	1539	1263	1107	1000	979	939	939	924	686	846	749	781	763	746	683	646	742	747	835	696	505	544	703	776	924	1139	647	647	818	488	569	508	397	406	571	723	612	495	547	435	622	688	833	365	386	510	648	741	815	631	668	980	1845	1922	886	1067	1357	2102	3778	5614	2423	1452	778	465	180	112	111	82	64	44	23	39	59	26	25	31	22	28	30	39	47	27	18	14	30	18	88	25	10	18
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298284_2 - Adapter 1	7809700	2215253	453420	115942	44565	19603	4640	2143	2906	2257	1438	1461	1227	1449	798	988	1336	594	858	815	348	714	779	1310	653	781	671	1027	647	1524	144	475	336	322	418	424	478	514	530	591	673	1190	263	623	927	375	450	333	402	695	873	293	266	406	537	345	471	1053	713	853	1009	1821	5259	6744	6333	1961	418	133	67	56	53	75	48	47	26	36	79	74	54	24	29	31	75	20	19	29	35	21	31	28	21	22	12	17	29	26	86	17	4	9
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298285_1 - Adapter 1	7111546	2093759	417200	110378	45942	16854	3131	1483	1861	1418	1081	832	675	674	618	528	546	569	394	432	428	477	461	413	376	340	376	382	429	402	240	277	275	337	335	340	240	374	495	574	648	326	217	162	366	478	303	254	256	229	334	426	404	192	201	227	370	372	439	303	381	450	1013	869	422	523	658	1030	1915	3301	1549	1106	479	270	184	68	81	63	48	37	42	41	71	22	57	23	27	28	26	23	31	27	11	28	213	53	92	17	13	14
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298285_2 - Adapter 1	6851224	2042539	388930	103632	43213	16828	3285	1552	1942	1576	1029	890	694	932	501	575	796	341	473	449	197	409	421	750	365	407	327	513	281	786	84	232	149	177	209	217	250	242	302	279	302	592	169	270	393	260	246	178	216	376	455	148	105	189	264	181	269	539	391	451	580	967	3094	3904	3775	1152	252	105	54	48	28	69	50	50	75	30	73	52	43	34	41	48	58	27	58	35	32	29	24	26	29	32	11	28	153	37	94	11	14	6
