	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298282_2 - Adapter 1	0.8174576946598398	1.0571623991451675	0.8571353208934978	0.8623419825832844	1.5280703620952583	3.1396025137247667	2.279407592350905	4.754879709487063	25.858310626703	75.45454545454545	439.7101449275362	881.1764705882354	3112.5	3765.0	2397.5	2557.5	3645.0	1612.5	2382.5	2162.5	825.0	1712.5	2002.5	2695.0	1755.0	2167.5	1885.0	2400.0	1222.5	3517.5	380.0	1250.0	822.5	960.0	1087.5	980.0	1230.0	1255.0	1360.0	1210.0	1652.5	2470.0	775.0	1420.0	1835.0	1105.0	985.0	972.5	952.5	1422.5	1622.5	937.5	627.5	1042.5	1337.5	925.0	1207.5	1985.0	1730.0	2337.5	2360.0	3817.5	9932.5	16162.5	24957.5	12987.5	2212.5	642.5	282.5	120.0	102.5	80.0	110.0	82.5	115.0	102.5	95.0	87.5	92.5	72.5	62.5	127.5	100.0	87.5	82.5	62.5	112.5	80.0	62.5	52.5	110.0	77.5	35.0	40.0	82.5	55.0	180.0	50.0	17.5	12.5
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298283_1 - Adapter 1	0.9422246153449431	1.024222614791507	0.8824761400439861	0.8678635288562847	1.2914395135024066	2.6119194180190264	2.198517067711248	5.011191941801903	23.042505592841163	68.74439461883408	219.10714285714286	785.0	3046.666666666667	3030.0	2676.666666666667	2556.666666666667	2770.0	3096.666666666667	2146.666666666667	2213.3333333333335	1970.0	2106.666666666667	1946.6666666666667	2000.0	1990.0	1720.0	2070.0	2020.0	2103.3333333333335	2103.3333333333335	1343.3333333333335	1646.6666666666667	1530.0	1973.3333333333335	1903.3333333333335	1353.3333333333335	1506.6666666666667	2043.3333333333335	1910.0	1536.6666666666667	2413.3333333333335	2553.3333333333335	2293.3333333333335	1750.0	1003.3333333333334	1076.6666666666667	1283.3333333333335	1626.6666666666667	1140.0	1146.6666666666667	1550.0	1286.6666666666667	1750.0	1906.6666666666667	1940.0	1170.0	1000.0	1823.3333333333335	1436.6666666666667	1803.3333333333335	2086.666666666667	1666.6666666666667	1703.3333333333335	2920.0	3373.3333333333335	4520.0	2823.3333333333335	2533.3333333333335	3673.3333333333335	5410.0	8443.333333333334	13620.0	9953.333333333334	9623.333333333334	7413.333333333334	4563.333333333334	1396.6666666666667	480.0	210.0	136.66666666666669	106.66666666666667	100.0	116.66666666666667	50.0	33.333333333333336	43.333333333333336	60.0	60.0	53.333333333333336	66.66666666666667	73.33333333333334	30.0	43.333333333333336	36.66666666666667	26.666666666666668	46.66666666666667	176.66666666666669	26.666666666666668	10.0	33.333333333333336
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298283_2 - Adapter 1	0.9131299013938374	0.9974410436219373	0.8316399315480412	0.8472394059553111	1.2761818157971818	2.5234331281477336	2.346110800223839	5.254616675993285	26.621923937360176	79.10313901345292	226.42857142857144	872.8571428571429	3383.3333333333335	4030.0	2406.666666666667	2850.0	3673.3333333333335	2026.6666666666667	2703.3333333333335	2486.666666666667	970.0	1890.0	2010.0	3276.666666666667	1936.6666666666667	2343.3333333333335	1946.6666666666667	2800.0	1543.3333333333335	3870.0	440.0	1380.0	970.0	850.0	1266.6666666666667	1183.3333333333335	1376.6666666666667	1580.0	1683.3333333333335	1400.0	1910.0	2910.0	923.3333333333334	1783.3333333333335	2280.0	1166.6666666666667	1400.0	1110.0	1166.6666666666667	1640.0	2163.3333333333335	1130.0	853.3333333333334	1330.0	1570.0	1043.3333333333335	1393.3333333333335	2536.666666666667	1873.3333333333335	2350.0	2680.0	4543.333333333334	11223.333333333334	18330.0	28713.333333333336	14753.333333333334	2366.666666666667	770.0	236.66666666666669	130.0	90.0	143.33333333333334	93.33333333333334	100.0	70.0	100.0	143.33333333333334	130.0	116.66666666666667	53.333333333333336	56.66666666666667	90.0	136.66666666666669	73.33333333333334	46.66666666666667	93.33333333333334	50.0	70.0	70.0	43.333333333333336	80.0	50.0	50.0	53.333333333333336	43.333333333333336	36.66666666666667	200.0	63.333333333333336	13.333333333333334	13.333333333333334
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298284_1 - Adapter 1	0.9205145206127586	1.031406912888161	0.8854044022906553	0.8725908777338351	1.3566033777404802	2.382484236045549	2.0369247983588976	3.8642297650130546	20.395227442207307	58.8955223880597	183.2142857142857	601.4285714285714	2214.0	2000.0	1958.0	1878.0	1878.0	1848.0	1372.0	1692.0	1498.0	1562.0	1526.0	1492.0	1366.0	1292.0	1484.0	1494.0	1670.0	1392.0	1010.0	1088.0	1406.0	1552.0	1848.0	2278.0	1294.0	1294.0	1636.0	976.0	1138.0	1016.0	794.0	812.0	1142.0	1446.0	1224.0	990.0	1094.0	870.0	1244.0	1376.0	1666.0	730.0	772.0	1020.0	1296.0	1482.0	1630.0	1262.0	1336.0	1960.0	3690.0	3844.0	1772.0	2134.0	2714.0	4204.0	7556.0	11228.0	4846.0	2904.0	1556.0	930.0	360.0	224.0	222.0	164.0	128.0	88.0	46.0	78.0	118.0	52.0	50.0	62.0	44.0	56.0	60.0	78.0	94.0	54.0	36.0	28.0	60.0	36.0	176.0	50.0	20.0	36.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298284_2 - Adapter 1	0.888919777792934	1.008582764774642	0.8257504773716287	0.8445959973804426	1.298559390188468	2.284811823257223	2.1632710149657326	3.9966430436404323	21.670395227442206	67.3731343283582	171.19047619047618	695.7142857142857	2454.0	2898.0	1596.0	1976.0	2672.0	1188.0	1716.0	1630.0	696.0	1428.0	1558.0	2620.0	1306.0	1562.0	1342.0	2054.0	1294.0	3048.0	288.0	950.0	672.0	644.0	836.0	848.0	956.0	1028.0	1060.0	1182.0	1346.0	2380.0	526.0	1246.0	1854.0	750.0	900.0	666.0	804.0	1390.0	1746.0	586.0	532.0	812.0	1074.0	690.0	942.0	2106.0	1426.0	1706.0	2018.0	3642.0	10518.0	13488.0	12666.0	3922.0	836.0	266.0	134.0	112.0	106.0	150.0	96.0	94.0	52.0	72.0	158.0	148.0	108.0	48.0	58.0	62.0	150.0	40.0	38.0	58.0	70.0	42.0	62.0	56.0	42.0	44.0	24.0	34.0	58.0	52.0	172.0	34.0	8.0	18.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
