Sample	94	70	100	24	80	28	68	40	20	32	74	56	92	46	22	64	44	60	54	62	42	52	88	26	30	98	48	72	78	90	82	84	86	38	66	50	36	96	58	76	34
SRX298280_1	291176.0	33629.0	12546183.0	11068.0	41282.0	13459.0	33223.0	17940.0	5869.0	14794.0	32846.0	26482.0	169962.0	19388.0	7999.0	31496.0	18858.0	27971.0	25487.0	29981.0	17782.0	23106.0	89884.0	12806.0	14870.0	6267979.0	19203.0	33689.0	34154.0	118637.0	49068.0	59025.0	70950.0	16223.0	32071.0	20663.0	15406.0	801405.0	27453.0	23849.0	15425.0
SRX298280_2	410031.0	67872.0	11288300.0	38066.0	95135.0	39779.0	64232.0	45225.0	33298.0	42045.0	76468.0	45808.0	273938.0	49057.0	35777.0	57178.0	43179.0	51489.0	41006.0	54310.0	47468.0	38290.0	166012.0	37628.0	42455.0	5916019.0	45221.0	71154.0	86396.0	208121.0	105889.0	118189.0	138454.0	43111.0	61581.0	36023.0	42907.0	932129.0	49064.0	81531.0	42906.0
SRX298281_1	204969.0	24627.0	9212424.0	9271.0	29474.0	10874.0	24172.0	13322.0	4926.0	11540.0	23418.0	19482.0	119726.0	14808.0	6561.0	23315.0	14348.0	21152.0	19170.0	21790.0	13544.0	17480.0	64793.0	10357.0	11670.0	4624907.0	14606.0	24962.0	24409.0	84691.0	35396.0	42376.0	50655.0	12705.0	23119.0	15426.0	12195.0	575343.0	20534.0	17381.0	11882.0
SRX298281_2	285807.0	47575.0	8367574.0	26648.0	66059.0	27710.0	44311.0	30960.0	23786.0	28907.0	53678.0	31515.0	189286.0	33900.0	26097.0	40313.0	29281.0	35841.0	28800.0	38021.0	32797.0	26696.0	116322.0	26737.0	29344.0	4399421.0	31553.0	49820.0	60198.0	143761.0	74152.0	82130.0	96514.0	29802.0	42962.0	24460.0	29575.0	664217.0	34428.0	57096.0	29746.0
SRX298282_1	390069.0	46313.0	16728577.0	18136.0	55840.0	21334.0	45562.0	26264.0	9816.0	22266.0	44302.0	37681.0	228024.0	28334.0	13178.0	44392.0	27802.0	40703.0	36808.0	42205.0	26459.0	33606.0	121390.0	20273.0	22586.0	8381896.0	27814.0	46708.0	46147.0	159716.0	66934.0	80098.0	96357.0	24265.0	44151.0	29405.0	23111.0	1071898.0	38680.0	33169.0	23038.0
SRX298282_2	550155.0	91451.0	15071430.0	51874.0	128293.0	53789.0	86735.0	61106.0	46046.0	57087.0	102630.0	61873.0	366858.0	65817.0	49150.0	77403.0	57835.0	68958.0	55169.0	73932.0	64383.0	51198.0	224179.0	51456.0	56711.0	7927394.0	61274.0	97278.0	116255.0	279327.0	142797.0	159238.0	185860.0	58120.0	82808.0	47662.0	58203.0	1249347.0	66001.0	110526.0	57699.0
SRX298283_1	289310.0	36267.0	13435107.0	16214.0	44858.0	18157.0	36138.0	22108.0	8640.0	18866.0	34889.0	31538.0	170393.0	24567.0	11220.0	35425.0	23992.0	33465.0	30499.0	34870.0	22374.0	28603.0	92340.0	17332.0	19074.0	7096081.0	23782.0	37169.0	36681.0	121450.0	51617.0	62867.0	74898.0	20222.0	34727.0	25308.0	20007.0	800690.0	31623.0	26037.0	19485.0
SRX298283_2	397844.0	68108.0	12303949.0	39023.0	95520.0	40130.0	64580.0	44948.0	34327.0	42277.0	77746.0	46062.0	264708.0	49397.0	36538.0	58377.0	43530.0	51735.0	42308.0	55596.0	47567.0	39701.0	163639.0	38038.0	41727.0	6784850.0	45751.0	73326.0	86714.0	204749.0	104549.0	117973.0	136635.0	43251.0	61524.0	37113.0	43278.0	917899.0	49139.0	81758.0	43006.0
SRX298284_1	474322.0	62713.0	20022773.0	20351.0	75215.0	24080.0	60661.0	31427.0	9952.0	26423.0	62372.0	47131.0	291684.0	35499.0	14489.0	56837.0	35213.0	52237.0	45391.0	54570.0	32642.0	43902.0	162412.0	22500.0	25799.0	10425683.0	35445.0	64091.0	63482.0	212382.0	89556.0	105806.0	130988.0	29422.0	58593.0	38660.0	28395.0	1256762.0	49410.0	45476.0	27625.0
