Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10k+	>1k	>500	>10	>5k	>100	>50
SRX298280_1										3.238129072569508	12.142424101212384	7.087518545349444	14.1681824620841	2.5301225078696477	14.98150861435628	5.732546047818646
SRX298280_2										2.96529274492704	11.479812958054117	6.762957408683209	13.852725375715103	2.2137334648254363	14.652129319873422	5.479857660460035
SRX298281_1										1.6239276781274001	9.271681236537024	6.612528334778461	14.701097029432084	1.8960710473943019	16.25312573736689	6.2065850618380445
SRX298281_2										1.4111026202896684	8.577405405255092	6.273169311464477	14.606220128067934	1.7487717550766506	15.669416932304388	5.943922221614889
SRX298282_1										4.105935963563426	13.356804348288945	6.98457033942117	14.50806853656426	3.4890538173224064	14.294854782611594	5.4930129508522985
SRX298282_2										3.8778567387170297	12.667934818521628	6.7262627481934025	14.201547069660906	2.9994415751876433	13.897654110716198	5.437661603513322
SRX298283_1										3.133970684913298	7.874216554637295	4.629416388505836	17.59557532948543	2.1313079299018245	13.370874034727183	6.694253057508639
SRX298283_2										3.044006560632834	7.563547746073976	4.377759591265963	16.970232187301328	2.1611740114697464	12.981865505013754	6.4266681821219365
SRX298284_1										2.9711429970828793	7.753156106699781	4.9743078806997705	18.434485055866027	2.215742085324725	14.573781618160181	7.188114432302009
SRX298284_2										2.8358416146684777	7.357441394971481	4.684918088968215	18.033297159024272	2.021869233838024	13.818365620019279	6.704139557510268
SRX298285_1										3.6065929844541813	9.078245292944548	5.317061211541749	16.573076438651917	2.0331241163185525	14.028049387823637	6.381418354458766
SRX298285_2										3.2067251108112553	8.537586614783107	4.962840258244703	15.797048886956592	1.9909888282019788	13.375756014519858	6.157879666428262
SRX298286_1										2.7206503681688714	7.209985424427151	4.877771440050791	20.73669305105315	1.981890257499002	14.77079095676603	7.867800673525889
SRX298286_2										2.5827682197136195	6.791877981158702	4.416831256119001	19.608194948522556	1.7188822638876027	14.038632054182706	7.274390840957707
SRX298287_1										2.6203937429963813	7.704014985540438	4.743323449611596	19.091644495668643	1.8437240027480368	14.01007158782536	7.085734127905985
SRX298287_2										2.451653553164743	7.297816216719638	4.472516837016081	18.264342327174305	1.7748515945785994	13.156255856441753	6.935355589921229
SRX298288_1										0.9208107778239688	4.7523493982512	3.152476647949862	19.463328584018118	1.4140936581691672	11.08035929342816	6.407599804434049
SRX298288_2										0.7647195945948929	4.5452727550941665	2.9388156287002163	18.708578953474042	1.4489313412228688	10.630974537853923	6.269254738400449
SRX298289_1										1.6195421398748533	8.704620756694203	7.070563695603241	15.029953232439267	1.7034154428774595	18.213444990893716	6.78025536991164
SRX298289_2										1.3713169795570737	8.08956670622625	6.731139837336587	14.96809459720799	1.5850848939148194	17.630297550705073	6.638443691075323
SRX298290_1										2.423149567879129	15.108628736662236	8.705291322675942	13.501655447707684	3.0367067416039872	17.455952255598394	6.0255851775420695
SRX298290_2										2.074154653907482	14.042945014674052	8.416440947559135	13.365599331327346	3.0175976350154006	16.929434473763756	5.939299256110418
SRX298291_1										2.1367117320092532	9.27751429416966	7.105327456499137	16.023719044423242	1.969755965461327	16.91655455432911	6.978503463672711
SRX298291_2										1.9597978330000865	8.415321936114214	6.635923768046951	15.801256363322747	1.8800013039754557	16.365912871942303	6.77008506246868
SRX298292_1										2.5058940534197105	11.22226506923175	7.311665636165575	14.802454071971075	2.2017199328757897	17.277847159156376	6.368196679107539
SRX298292_2										2.27283755471433	10.31641975315244	6.913428170156786	14.29187861117056	2.153387323722613	16.640499586468344	6.109142093672307
SRX298293_1										2.7673517691795864	17.636476328347626	7.3563115977173315	13.082252792758753	4.223142373897703	14.795568984100438	5.574791642278936
SRX298293_2										2.388139502571347	16.53166840799953	7.050700478404069	12.904065020147899	3.9031785905545395	14.422332758108125	5.298292824188125
SRX298294_1										2.8769402921099325	9.724478189532235	6.5180557689136	16.595818752253074	2.2601764013622505	15.544221314572216	6.224907607339379
SRX298294_2										2.637902723254931	8.854929867901436	6.140966466872583	16.108936478335927	2.259823225774995	14.881208607769297	6.225485250178178
SRX298295_1										2.9482845363075803	8.008466511972399	4.9223822343049735	20.585184307759956	2.4427838249823757	15.143217591584351	7.59142279825454
SRX298295_2										2.8002361003482705	7.555884091142781	4.723724658913928	20.054836183435476	2.2521504813135795	14.316812273594529	7.24078884066094
SRX298296_1										1.5320656865968487	5.2009768469292	3.4842503414431634	18.649487571006272	1.3977566368644274	13.067480306437718	7.191714441517777
SRX298296_2										1.3420491183769672	5.041511397813711	3.360755563937836	18.103778955035235	1.4299381446285977	12.481363432651253	6.969168460946667
SRX298297_1										3.002680863731911	7.516866797365189	4.290968447918906	18.034933998590656	1.4776073187954528	14.029253388550067	7.070297404026496
SRX298297_2										2.762787658251846	7.231193276327562	4.1023297009739474	17.51847483714314	1.485099523063066	13.424050957991915	6.742856368110309
SRX298298_1										1.6680105537402408	7.829432626331447	5.013810112501481	16.66278351810206	2.0193848980149247	14.237982498233572	6.672025600099481
SRX298298_2										1.5200590791745652	7.408695245275365	4.6968698810352	16.31498456428428	1.8817916687521672	13.664777007235774	6.421252121616488
SRX298299_1										0.8854237910491929	10.762989550317364	7.232490462145534	15.205682728945838	1.759466979375248	18.12280108887993	6.991016771141294
SRX298299_2										0.9126086269286465	9.910561155122362	6.926409707702691	14.906299350517582	1.4528753980669056	17.41089409113657	6.959027878796518
SRX298300_1										4.783415619489521	10.620015631935011	5.949340733891635	15.438932935824317	3.127457867366426	14.905096418505734	6.311201655666496
SRX298300_2										4.3626268222380835	9.957840743961102	5.660653216673313	14.886503714673852	2.8921822790076703	14.320529186462291	6.200501454440522
SRX298301_1										0.7443448222046081	7.3160391811387395	4.747410729982225	24.132400620762777	1.21048954544057	15.14591598125865	7.398325786348316
SRX298301_2										0.582822561751459	6.769593828103096	4.612399567752126	22.57220856255139	1.2209129090596758	14.239324830074901	6.921180242559577
SRX298302_1										3.156269628351978	10.926882250884615	6.277738252802001	17.684779862581436	2.301333809761657	15.53071269416584	6.872861600270911
SRX298302_2										2.9265267082106163	9.98404942543412	5.96277592568422	17.07347516616663	2.0530621600010144	14.891187224047844	6.697114002702276
SRX298303_1										4.096286586235729	12.294406806507347	6.667226869816248	15.883761669174659	2.9973415070132634	15.632030625932074	6.444908687786946
SRX298303_2										3.691735932936662	11.474590225327637	6.386561530595078	15.551117592862951	2.6087887518455166	15.036900863917937	6.284811088767853
SRX298304_1										4.17280524560772	8.232171255686477	4.926926996352331	18.446847378299395	2.6296286008768863	14.233029954418615	7.078305237959571
SRX298304_2										4.124361188472225	7.801178518833753	4.719844632645873	17.932935706492334	2.360239013748109	13.505459775124622	6.929346349291493
SRX298305_1										2.9480622457367507	8.39485196295119	4.801731214525406	19.527078094512206	1.9158179109575308	13.655255751659311	6.992249859938034
SRX298305_2										2.6045999711868406	7.978826733521938	4.480589446105113	18.828071322532125	1.745387915599587	13.07881660277393	6.7843408537952286
SRX298306_1										4.983542816468248	10.023963260961985	4.918729813709742	17.731437530022532	3.0812230014246333	13.579668785229218	6.72230532895817
SRX298306_2										4.612874335479552	9.38858732510777	4.714326721735231	17.222095407843273	2.831187746904368	13.045634053583743	6.360944187641407
SRX298307_1										2.8300400024313617	6.00070326645332	4.152528387849862	21.901762306710115	1.656830515285968	14.503801488395638	8.141945316696345
SRX298307_2										2.8078502534295655	5.707218377217782	3.8206058655760198	21.083706555146648	1.5004653782877801	13.73302536382431	7.764818948754873
SRX298308_1										1.1546183590922852	5.848883677543146	4.528974801096027	22.426956306816955	1.2764572067872493	15.553562730726053	8.262093348255748
SRX298308_2										1.066964668121359	5.417226395153843	4.005324815874661	21.228963242705905	1.0790755466065518	14.278538281351613	7.711996400666238
SRX298309_1										1.6985331430683135	5.647692466123054	3.818825042314417	22.300855023844733	1.5494344819724617	13.41239508943318	7.914080831080743
SRX298309_2										1.7189534206738397	5.228833003833415	3.527722752766725	21.257726626335366	1.3312100674587148	12.518523133831755	7.4422130647550215
