Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10k+	>1k	>500	>10	>5k	>100	>50
SRX298280_1										3.0497911173559458	11.810670816869123	7.0018110302049585	14.034867677222229	2.5610325903470894	14.919228394405115	5.668709914855194
SRX298280_2										2.7851574406987005	11.20049203796051	6.668819017785153	13.823355369397127	2.2502710000227855	14.555412170170895	5.469469385064628
SRX298281_1										1.5354443404322637	9.054311926778617	6.468667765191179	14.58523914388105	1.8808185609783745	16.10523417477501	6.128360721000802
SRX298281_2										1.3987084275923793	8.419603097527048	6.16657305927086	14.661078857340401	1.6777787090309124	15.530110688431224	5.934966391295227
SRX298282_1										4.056351756775297	13.206859872038132	6.872782709679358	14.396340801051066	3.220560087252395	14.203538848306726	5.4671929609732075
SRX298282_2										3.738752891628689	12.400893142641008	6.7095047692822725	14.18379320846039	2.932710841450621	13.840814379813612	5.392565529903085
SRX298283_1										3.1087962358058885	7.740874938269987	4.549333795097402	17.480512495297468	2.1131517293510473	13.17275884538352	6.5990466545418345
SRX298283_2										2.9384338276255257	7.535463540901616	4.3700120482680305	16.804322817818125	2.1872843033838976	12.769118923498096	6.343654878794072
SRX298284_1										2.9870727116260603	7.604605694851198	4.829926100223785	18.210826946183197	2.162733499831493	14.318551189107092	7.100899923766295
SRX298284_2										2.8335635829091195	7.285482095142508	4.594839420806041	17.765067621538375	1.9395783743154351	13.482087624316241	6.600203847397673
SRX298285_1										3.564063623866905	8.872512930750297	5.259756044093693	16.342261837341397	1.9669185308963575	13.787212154734807	6.301435204241663
SRX298285_2										3.2126670590766313	8.301512776450569	4.878757821875112	15.63364299198052	1.9420264111595098	13.132851032274	6.061077623943064
SRX298286_1										2.689233020219854	7.069281920268636	4.742267024504648	20.563727387270667	1.9143350807827746	14.425834496070056	7.692347811388786
SRX298286_2										2.5237929780561354	6.667647952151628	4.305536893108294	19.39752320401671	1.742739991861488	13.745558499143181	7.152951483273016
SRX298287_1										2.6035103685474885	7.621166627802714	4.645064326034922	18.785473127824805	1.790788901953334	13.754944290891094	6.991088349927006
SRX298287_2										2.4701480827310838	7.195845911594296	4.425887967109258	18.002098605343694	1.7365580869030246	12.851515104237704	6.8264014690055035
SRX298288_1										0.8697088987291716	4.599585690565319	3.0577393077244555	19.223961924666543	1.4767672849280946	10.978059638975475	6.324340362115451
SRX298288_2										0.7719626467792297	4.516578722927425	2.884950414653108	18.568432436546765	1.4588948972287696	10.487203359432339	6.173731891300982
SRX298289_1										1.6089760836338312	8.38918836399989	7.066293988860657	14.982802433080975	1.5999444246379466	18.13193012364575	6.740143351726095
SRX298289_2										1.3064869535258807	7.967906659663571	6.585225819884853	14.926518058415205	1.6123617691533996	17.577176097343646	6.605442801143379
SRX298290_1										2.2701272988645456	14.805978300326327	8.630603480140277	13.485511359510108	3.028027976526993	17.42914733774704	6.023118000215321
SRX298290_2										2.0712706395543377	13.792073862086534	8.287562640012924	13.320682695025516	2.9673696225228907	16.937203891061866	5.908421284482663
SRX298291_1										2.0507811809409837	9.086528787113114	6.935836540197224	15.96313636101408	1.8871656998828354	16.86804859803492	6.910774384735392
SRX298291_2										1.88255148167213	8.229618299441844	6.514183948096476	15.729484473388677	1.8010768093786031	16.257959111183375	6.721148213750516
SRX298292_1										2.3977140449857277	10.973054838493292	7.230197282831896	14.65505166329427	2.1755135382895885	17.181592863309607	6.329977646228473
SRX298292_2										2.1720785203008415	10.12966471306156	6.6710640173637525	14.19978029718984	2.274244160673318	16.667339796300308	6.081069030295478
SRX298293_1										2.6205651046593053	17.40487637816637	7.327645005917645	12.926192557198299	4.19761470612003	14.702474264409563	5.513744292207466
SRX298293_2										2.3509018443767444	16.463679344686224	6.976472353052364	12.791829625774357	3.804235835331811	14.352083637177286	5.24347428183942
SRX298294_1										2.8209019394629427	9.475357210421386	6.399626037725136	16.398935731020824	2.2651780092340954	15.420577579044952	6.1744812809043506
SRX298294_2										2.6289925699761545	8.669917879951889	6.067403873442751	16.04173527563748	2.1597138305497974	14.765564728559836	6.154145363586831
SRX298295_1										2.92749332761035	7.962591277575718	4.84987554642019	20.361823222606155	2.337715074346001	14.867713537744176	7.522513308252697
SRX298295_2										2.8025362281203896	7.499415068063719	4.638467796516529	19.781817125805333	2.2417344260894576	14.062894628050154	7.120428524059694
SRX298296_1										1.5443975554748013	5.05972748956709	3.4716368683601257	18.515524752231336	1.3819917989655406	12.907712524489243	7.075522803764564
SRX298296_2										1.3546574969595497	5.04219352730833	3.321034113829644	17.95599692607277	1.3845016236428955	12.354593489035372	6.845216636960297
SRX298297_1										2.8868524256123544	7.456690999441721	4.24148676212237	17.914923668120103	1.4989467372932885	13.866730047783559	7.009829709337653
SRX298297_2										2.758070717298122	7.1838795199312315	4.052453137756236	17.460481334339725	1.5076396255885998	13.289477888044326	6.688344948235425
SRX298298_1										1.6009636179234246	7.6041413838485505	4.9414591074592975	16.580779690495543	2.092614259936996	14.003628700831506	6.603071915252809
SRX298298_2										1.5210524949277917	7.343830209450363	4.572844805337718	16.220907426577355	1.8182769237503358	13.427307097289058	6.363861785734729
SRX298299_1										0.8796042727144158	10.587233084754796	7.1290123085713235	15.139233297042958	1.6970889927136923	18.01535032351258	6.945221748672169
SRX298299_2										0.9089683428789115	9.691025416928186	6.856766929024855	14.809145617093208	1.4539203995549583	17.23959290193159	6.932969870562763
SRX298300_1										4.684205845396948	10.344565841540147	5.896403351513987	15.36217621071534	3.095360740348637	14.746134775614259	6.2565659003683685
